property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,16,6,32.0,32.0,0.005,0.432,0.936,0.016,1.0,0.0,0.846,0.898,0.477,199,0.058,0.979,0.984,0.035,199,0.005,0.01,0.419
ampersand,20,20,16.0,32.0,0.0,0.0,0.128,0.761,0.333,0.667,1.0,1.0,0.021,144,0.0,1.0,1.0,0.007,144,0.0,0.0,0.348
contractions,24,16,32.0,32.0,0.056,0.036,0.12,0.78,0.16,0.83,0.468,0.964,0.006,174,0.514,0.159,0.871,0.023,174,0.818,0.081,0.069
curly_quotes,20,24,32.0,32.0,0.0,0.115,0.308,0.674,0.316,0.684,0.08,0.65,0.03,167,0.877,1.0,1.0,0.407,167,0.0,0.006,0.072
double_space,10,6,32.0,8.0,0.007,0.915,0.658,0.196,0.722,0.278,0.923,1.0,0.02,200,0.077,0.909,1.0,0.01,200,0.091,0.0,0.9
em_dash,20,20,32.0,32.0,0.0,0.0,0.464,0.536,0.473,0.527,1.0,1.0,0.0,99,0.0,1.0,1.0,0.0,99,0.0,0.012,0.035
num_words,20,20,16.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.938,1.0,0.0,81,0.062,0.691,1.0,0.0,81,0.309,0.074,0.148
ordinal_words,24,16,16.0,32.0,0.036,0.0,0.169,0.831,0.169,0.759,0.827,1.0,0.015,200,0.173,0.045,0.529,0.01,200,0.914,0.115,0.01
oxford_comma,16,6,16.0,32.0,0.0,0.0,0.5,0.455,0.591,0.364,1.0,1.0,0.0,67,0.0,0.448,0.789,0.0,67,0.433,0.134,0.485
percent_sign,16,8,32.0,32.0,0.0,0.272,0.695,0.288,0.831,0.169,0.981,1.0,0.01,104,0.019,0.99,1.0,0.01,104,0.01,0.077,0.437
quote_punct,16,24,32.0,8.0,0.049,0.84,0.796,0.053,0.965,0.035,1.0,1.0,0.032,125,0.0,0.96,0.992,0.0,125,0.032,0.017,0.902
sentence_caps,10,2,32.0,32.0,0.0,0.84,0.702,0.03,0.965,0.03,1.0,1.0,0.125,200,0.0,0.904,1.0,0.01,200,0.096,0.0,0.862
us_uk,24,24,32.0,32.0,0.021,0.044,0.15,0.833,0.233,0.767,0.782,0.991,0.027,146,0.211,0.83,0.991,0.075,146,0.163,0.017,0.22
