task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
landmark-country,preimage_matched,cue1,0,-0.05383344367146492,0.013748953866528388,170,-0.07790453732013702,0.03220800625386686,40
landmark-country,preimage_matched,cue1,1,0.052008192986249924,0.008287675275258703,170,0.027708321809768677,0.01706361584870838,40
landmark-country,preimage_matched,cue1,2,-0.04757631942629814,0.006731731144042491,170,-0.05871065333485603,0.017577672551209348,40
landmark-country,preimage_matched,cue1,3,-0.053996022790670395,0.0068777449611444,170,-0.06646706908941269,0.01884717935754451,40
landmark-country,preimage_matched,cue1,4,-0.06036883965134621,0.005694556581411293,170,-0.06100787967443466,0.01369140854534134,40
landmark-country,preimage_matched,cue1,5,-0.046248216181993484,0.005038876701959647,170,-0.042820025235414505,0.01149953275906622,40
landmark-country,preimage_matched,cue1,6,-0.04205123707652092,0.004649389379164702,170,-0.03642071411013603,0.009622782144987505,40
landmark-country,preimage_matched,cue1,7,-0.050108909606933594,0.0035062861985493744,170,-0.038069628179073334,0.0062443759939362735,40
landmark-country,preimage_matched,cue1,8,-0.03449137136340141,0.0028471237179583837,170,-0.0302597489207983,0.005437449066222158,40
landmark-country,preimage_matched,cue1,9,-0.03706834465265274,0.0029859220449320618,170,-0.03325160592794418,0.005898522231390512,40
landmark-country,preimage_matched,cue1,10,-0.02185632847249508,0.0019171844987449676,170,-0.020495785400271416,0.003084933063750971,40
landmark-country,preimage_matched,cue1,11,-0.005112567450851202,0.0012608570423401405,170,-0.006904478184878826,0.0016594373858083145,40
landmark-country,preimage_matched,cue1,12,-0.0037002444732934237,0.0010374268504978025,170,-0.005014708265662193,0.0016900933794285664,40
landmark-country,preimage_matched,cue1,13,-0.002814279170706868,0.0010660265230588088,170,-0.005489469040185213,0.0015775531347964303,40
landmark-country,preimage_matched,cue1,14,-0.0005157344276085496,0.0008574426007301347,170,-0.001808026572689414,0.0017538213799234066,40
landmark-country,preimage_matched,cue1,15,0.000184643009561114,0.0007008704078383055,170,-0.00033660605549812317,0.0013627213010130677,40
landmark-country,preimage_matched,cue1,16,-0.00017490575555711985,0.0007385784438188838,170,-0.0009965108474716544,0.0013589820540716793,40
landmark-country,preimage_matched,cue1,17,-0.0020011456217616796,0.0006674391940584461,170,-0.0033869841136038303,0.0012137870496885096,40
landmark-country,preimage_matched,cue1,18,-0.0020550910849124193,0.0005578342232820377,170,-0.002883151639252901,0.0011551375069927137,40
landmark-country,preimage_matched,cue1,19,-0.0006496662390418351,0.00041615740746567606,170,-0.00159335951320827,0.0008306505963526894,40
landmark-country,preimage_matched,cue1,20,-0.00039622638723813,0.0003043168104738321,170,-0.0013880888000130653,0.0008368947249581776,40
landmark-country,preimage_matched,cue1,21,-0.000912488903850317,0.0002668426336312105,170,-0.0012934848200529814,0.0005989914886854504,40
landmark-country,preimage_matched,cue1,22,-0.0007693722145631909,0.00025805875512274187,170,-0.0012324681738391519,0.0006143734544635604,40
landmark-country,preimage_matched,cue1,23,-0.0001258648990187794,0.0002682273597303025,170,-0.00011502821143949404,0.0005815100711507496,40
landmark-country,preimage_matched,cue1,24,-5.9732137742685154e-05,0.0002626730802027659,170,-0.00042758864583447576,0.0005507645096593482,40
landmark-country,preimage_matched,cue1,25,8.224761404562742e-05,0.00023927763061146453,170,-0.00014581736468244344,0.0005020711371438941,40
landmark-country,preimage_matched,cue1,26,-0.00027571903774514794,0.00012634897076570825,170,1.4484115126833785e-05,0.00028594460033527173,40
landmark-country,preimage_matched,cue1,27,0.0,0.0,170,0.0,0.0,40
landmark-country,preimage_matched,target1,0,-3.5258865356445312,0.10665381959954225,170,-3.8137946128845215,0.229570655566775,40
landmark-country,preimage_matched,target1,1,-3.071146249771118,0.09940349945988382,170,-3.327457904815674,0.21934954502249585,40
landmark-country,preimage_matched,target1,2,-2.856962203979492,0.09746371605405729,170,-3.1055054664611816,0.22226256520310092,40
landmark-country,preimage_matched,target1,3,-2.3855385780334473,0.0847990045802767,170,-2.526860475540161,0.20352682491708463,40
landmark-country,preimage_matched,target1,4,-2.1697535514831543,0.07776786802480336,170,-2.31303334236145,0.18956203446603595,40
landmark-country,preimage_matched,target1,5,-2.044825553894043,0.07163671171867171,170,-2.199737787246704,0.176627096207367,40
landmark-country,preimage_matched,target1,6,-1.9645253419876099,0.06958404963556872,170,-2.0865180492401123,0.17204974079144716,40
landmark-country,preimage_matched,target1,7,-1.8617712259292603,0.06658299089007383,170,-1.9680896997451782,0.1702715220511293,40
landmark-country,preimage_matched,target1,8,-1.6024553775787354,0.05950936254352303,170,-1.6889870166778564,0.15420654975305803,40
landmark-country,preimage_matched,target1,9,-1.4543333053588867,0.053050066295106175,170,-1.5289852619171143,0.14000307892732317,40
landmark-country,preimage_matched,target1,10,-1.1993281841278076,0.04461742749742013,170,-1.257164716720581,0.1143493398068522,40
landmark-country,preimage_matched,target1,11,-1.0971225500106812,0.04288745616725705,170,-1.1551644802093506,0.10827847441312222,40
landmark-country,preimage_matched,target1,12,-0.6493487358093262,0.032289772613423015,170,-0.7092174291610718,0.08574799324465725,40
landmark-country,preimage_matched,target1,13,-0.22521869838237762,0.025306572466904865,170,-0.2420559674501419,0.06678582891449569,40
landmark-country,preimage_matched,target1,14,-0.2925286293029785,0.024915590845647474,170,-0.32616400718688965,0.06858903624414785,40
landmark-country,preimage_matched,target1,15,-0.23524856567382812,0.022117923549611805,170,-0.2731507420539856,0.05966776586405644,40
landmark-country,preimage_matched,target1,16,-0.2568085491657257,0.016346206881360813,170,-0.2846168577671051,0.038501785131860165,40
landmark-country,preimage_matched,target1,17,-0.2567909359931946,0.0167744722492648,170,-0.2889777421951294,0.04327835186263892,40
landmark-country,preimage_matched,target1,18,-0.03245861455798149,0.009526660131002807,170,-0.0522194504737854,0.02613952050139913,40
landmark-country,preimage_matched,target1,19,-0.05609386786818504,0.0081577318809711,170,-0.07203260809183121,0.021182402612986397,40
landmark-country,preimage_matched,target1,20,-0.08536157011985779,0.006594920834028986,170,-0.08476550132036209,0.016624566145618316,40
landmark-country,preimage_matched,target1,21,-0.08752062171697617,0.006315104732575647,170,-0.0823202133178711,0.014374756696968968,40
landmark-country,preimage_matched,target1,22,-0.03540839999914169,0.0037560814724604047,170,-0.03860672563314438,0.01258524526301739,40
landmark-country,preimage_matched,target1,23,-0.030008818954229355,0.0030320227239405426,170,-0.03003755584359169,0.009454042018687945,40
landmark-country,preimage_matched,target1,24,-0.02535068243741989,0.0018457497464635384,170,-0.019323810935020447,0.0029281444500831194,40
landmark-country,preimage_matched,target1,25,-0.015272769145667553,0.0013849552439040825,170,-0.01091621071100235,0.0017509743512003411,40
landmark-country,preimage_matched,target1,26,-0.0029676598496735096,0.0002802452658289131,170,-0.0038571872282773256,0.0006363240253026917,40
landmark-country,preimage_matched,target1,27,0.0,0.0,170,0.0,0.0,40
landmark-country,preimage_matched,final_cue_ctx,0,-0.19742754101753235,0.07094579382431174,170,-0.4103660583496094,0.12174279567766944,40
landmark-country,preimage_matched,final_cue_ctx,1,-0.2568945586681366,0.07181802526549418,170,-0.4554416537284851,0.1257962153457292,40
landmark-country,preimage_matched,final_cue_ctx,2,-0.25513574481010437,0.07177260316370335,170,-0.45371413230895996,0.12603312394791122,40
landmark-country,preimage_matched,final_cue_ctx,3,-0.2532784938812256,0.07169652022891018,170,-0.4548211097717285,0.12605974765708317,40
landmark-country,preimage_matched,final_cue_ctx,4,-0.25249382853507996,0.07190160997857223,170,-0.45049262046813965,0.12624394602726563,40
landmark-country,preimage_matched,final_cue_ctx,5,-0.28107237815856934,0.07249340931304606,170,-0.46467894315719604,0.1274186029245752,40
landmark-country,preimage_matched,final_cue_ctx,6,-0.2685813903808594,0.0725291901897285,170,-0.4568038880825043,0.12674273768448122,40
