task,group,cf_task,zero_shot,n1_baseline,n1_mean_ablation_mr3,n1_zero_ablation_mr3,n1_cf_mean_ablation_mr3,n1_cf_zero_ablation_mr3,n1_mean_ablation_mr157,n1_zero_ablation_mr157,n1_cf_mean_ablation_mr157,n1_cf_zero_ablation_mr157,n6_baseline,n6_mean_ablation_mr3,n6_zero_ablation_mr3,n6_cf_mean_ablation_mr3,n6_cf_zero_ablation_mr3,n6_mean_ablation_mr157,n6_zero_ablation_mr157,n6_cf_mean_ablation_mr157,n6_cf_zero_ablation_mr157
iso_date_to_month,train,product-company,0.0,0.3333,0.0333,0.0333,0.3,0.2267,0.0667,0.0667,0.32,0.2667,0.9733,0.2067,0.1933,0.9667,0.9467,0.3467,0.36,0.9667,0.9467
iso_date_year_plus_one,train,initials_two_words,0.0,0.1133,0.02,0.0133,0.16,0.1467,0.02,0.0133,0.14,0.1267,0.8467,0.06,0.06,0.8733,0.9333,0.06,0.08,0.8733,0.9333
landmark-country,train,adjective_to_adverb,0.0,0.1533,0.0267,0.0067,0.2333,0.18,0.0333,0.0067,0.2267,0.2,0.5,0.0067,0.02,0.4933,0.4867,0.0133,0.02,0.5,0.4867
language_identification,train,german_noun_gender,0.0,0.12,0.0067,0.0,0.1067,0.1133,0.0067,0.0,0.1067,0.12,0.7667,0.0,0.0067,0.7333,0.7267,0.0,0.0067,0.7333,0.7333
larger_of_pair,train,singular_or_plural,0.0,0.24,0.1067,0.14,0.2533,0.2667,0.1067,0.1333,0.2533,0.26,0.56,0.4267,0.4867,0.56,0.5067,0.4333,0.4733,0.5667,0.52
larger_than_1000,train,past_to_base,0.0,0.18,0.04,0.0267,0.16,0.1667,0.0933,0.0867,0.1733,0.18,0.5267,0.2133,0.1733,0.4933,0.4533,0.32,0.34,0.48,0.4667
lowercase_first_letter,train,country-capital,0.0,0.16,0.0067,0.0067,0.12,0.1333,0.0067,0.0133,0.1133,0.14,0.6533,0.0,0.0133,0.66,0.6533,0.0,0.0133,0.66,0.6667
lowercase_word,train,product-company,0.0,0.4267,0.2133,0.1667,0.4333,0.4267,0.2467,0.2,0.44,0.4867,0.9733,0.6,0.4867,0.96,0.96,0.7067,0.62,0.9533,0.9733
national_parks,train,past_to_base,0.0,0.2933,0.0133,0.0067,0.2867,0.3,0.0133,0.0133,0.3067,0.3267,0.5267,0.0,0.0067,0.5467,0.4867,0.0,0.0067,0.5533,0.4867
natural_manmade,train,pos_label,0.0,0.02,0.02,0.0133,0.06,0.0467,0.02,0.0133,0.06,0.0467,0.6467,0.1533,0.1333,0.6333,0.62,0.18,0.2333,0.6467,0.6333
next_item,train,plural_to_singular,0.0267,0.1133,0.0133,0.0333,0.1067,0.0867,0.0133,0.0333,0.1067,0.0867,0.5,0.0467,0.0333,0.4733,0.4133,0.06,0.0267,0.48,0.4133
next_month_of_date,train,verb_tense_label,0.0067,0.1467,0.0133,0.04,0.16,0.0933,0.02,0.0467,0.1733,0.0933,0.6733,0.0267,0.0267,0.5067,0.5067,0.0333,0.0467,0.5133,0.5067
next_number_digits,train,pos_label,0.0133,0.2533,0.02,0.0333,0.26,0.2333,0.02,0.0333,0.26,0.2333,0.8867,0.0667,0.0467,0.88,0.9,0.0733,0.06,0.88,0.9
number_word_to_digits,train,person-sport,0.0,0.5467,0.2533,0.2867,0.46,0.44,0.28,0.3333,0.46,0.4467,0.7067,0.4133,0.3867,0.7333,0.7067,0.4533,0.3667,0.74,0.7133
park-country,train,german-english,0.0,0.2933,0.04,0.02,0.3133,0.2667,0.0467,0.02,0.3133,0.2867,0.52,0.0067,0.0133,0.5133,0.48,0.0067,0.0133,0.5067,0.4667
past_to_base,heldout,animal_plant_object,0.0,0.2133,0.0733,0.0733,0.2133,0.2133,0.08,0.08,0.2133,0.22,0.76,0.16,0.1333,0.7067,0.64,0.2333,0.1867,0.7467,0.7133
person-instrument,train,antonym,0.0,0.1333,0.0,0.0133,0.0667,0.1,0.0,0.02,0.06,0.1,0.26,0.02,0.0267,0.2533,0.2267,0.0533,0.1,0.26,0.2267
person-sport,train,french_noun_gender,0.0,0.2933,0.0,0.0,0.2733,0.2933,0.0067,0.0,0.2533,0.2733,0.7,0.0067,0.0133,0.6667,0.6467,0.02,0.0333,0.66,0.64
person_place_thing,heldout,gerund_to_base,0.0,0.04,0.0133,0.0133,0.0467,0.0667,0.02,0.0267,0.04,0.0667,0.62,0.02,0.0133,0.6,0.58,0.0467,0.08,0.6,0.58
plural_to_singular,train,english-portuguese,0.0,0.1933,0.0667,0.0333,0.22,0.1067,0.06,0.0467,0.2267,0.1133,0.8267,0.2067,0.1333,0.78,0.76,0.22,0.18,0.8,0.7667
pos_label,heldout,larger_of_pair,0.0,0.1267,0.0,0.0133,0.0867,0.0867,0.0067,0.0133,0.0867,0.1067,0.56,0.0333,0.0667,0.6267,0.5333,0.0333,0.0733,0.6333,0.5467
present-past,train,smaller_of_pair,0.0133,0.24,0.0333,0.0267,0.2133,0.2733,0.0467,0.0267,0.2133,0.2733,0.78,0.02,0.02,0.9067,0.8267,0.0133,0.0267,0.9067,0.8333
prev_number_digits,train,person_place_thing,0.0,0.0867,0.0067,0.02,0.1133,0.0867,0.0067,0.02,0.1067,0.0867,0.8133,0.04,0.06,0.84,0.8867,0.0533,0.0933,0.8333,0.8733
product-company,train,gerund_to_past,0.0,0.1,0.0133,0.0,0.12,0.1133,0.0133,0.0067,0.12,0.1133,0.4733,0.02,0.0267,0.4867,0.4467,0.0267,0.0333,0.4867,0.44
sentiment,train,park-country,0.0,0.2267,0.0,0.0067,0.18,0.2533,0.0,0.0067,0.18,0.2333,0.6667,0.0467,0.0267,0.6467,0.6533,0.1267,0.0867,0.6467,0.6533
singular-plural,train,city-country,0.0,0.4667,0.0333,0.0533,0.4933,0.4733,0.04,0.08,0.48,0.46,0.9,0.0533,0.0333,0.8933,0.8867,0.0533,0.0333,0.8933,0.8933
singular_or_plural,train,animal_plant_object,0.0,0.1533,0.0133,0.0,0.0733,0.14,0.0133,0.0,0.0733,0.1467,0.6133,0.0733,0.14,0.6133,0.58,0.1067,0.1867,0.6133,0.6
smaller_of_pair,heldout,country-capital,0.0,0.2867,0.1,0.0933,0.2133,0.3,0.0933,0.0933,0.22,0.3,0.4933,0.2867,0.34,0.4667,0.4533,0.2867,0.3467,0.4733,0.44
spanish-english,heldout,plural_to_singular,0.0,0.4667,0.16,0.12,0.42,0.4467,0.16,0.0867,0.42,0.4333,0.7133,0.48,0.3533,0.7,0.6333,0.5933,0.32,0.7267,0.6467
spanish_noun_gender,train,english-french,0.0,0.1667,0.0,0.0,0.2,0.1667,0.0,0.0,0.1933,0.18,0.62,0.0067,0.0067,0.4933,0.4667,0.04,0.0533,0.52,0.54
starts_with_vowel,train,past_to_base,0.0,0.0867,0.0,0.0,0.0267,0.0333,0.0,0.0133,0.04,0.0533,0.46,0.1333,0.1733,0.56,0.5467,0.1933,0.2733,0.5467,0.52
third_person_to_base,train,initials_two_words,0.0,0.2267,0.1,0.04,0.2267,0.2067,0.1,0.04,0.2,0.1933,0.8533,0.26,0.18,0.8267,0.82,0.3667,0.2933,0.8333,0.8333
titlecase_phrase,train,verb_tense_label,0.0,0.1667,0.0467,0.0533,0.1533,0.1933,0.0533,0.0667,0.1533,0.1867,0.92,0.0933,0.0733,0.9333,0.9333,0.2333,0.2133,0.94,0.9333
uppercase_word,heldout,english-spanish,0.0,0.22,0.04,0.0533,0.2533,0.2,0.0533,0.1067,0.26,0.2,0.9267,0.1267,0.1,0.9333,0.94,0.2667,0.14,0.94,0.9467
us-city-state,train,starts_with_vowel,0.0,0.4333,0.02,0.0067,0.3667,0.2867,0.02,0.0067,0.36,0.3067,0.6533,0.0133,0.0133,0.6533,0.7,0.0133,0.02,0.64,0.6933
verb_tense_label,train,word_polarity,0.0,0.0667,0.0067,0.0133,0.0467,0.0333,0.0067,0.02,0.0467,0.0333,0.32,0.1467,0.1067,0.38,0.2467,0.1667,0.1267,0.38,0.2533
verb_to_third_person,train,next_month_of_date,0.0,0.2867,0.02,0.0733,0.2267,0.2,0.0467,0.0933,0.2267,0.2267,0.7667,0.0,0.02,0.76,0.7533,0.0133,0.0267,0.76,0.7533
word_polarity,heldout,capitalize_first_letter,0.0,0.18,0.0,0.0,0.2333,0.1133,0.0067,0.0133,0.2267,0.1333,0.68,0.0133,0.0133,0.68,0.5933,0.0267,0.0267,0.6667,0.5867
